,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
11 1 2,0.948013,0.951727,0.948942,0.94857,0.928704,0.929818,0.94987,0.930004,0.9456
11 1 1 2,0.955254,0.952655,0.954697,0.954326,0.949499,0.944671,0.942072,0.864835,0.926105
11 1 2 2,0.940401,0.942443,0.929075,0.943,0.90958,0.925919,0.943743,0.929818,0.91645
11 1 3 2,0.93446,0.935759,0.931303,0.932417,0.930746,0.920906,0.94857,0.922391,0.944114
11 1 4 2,0.94857,0.945971,0.937616,0.943743,0.922206,0.932046,0.941515,0.909395,0.916079
11 1 5 2,0.927404,0.9443,0.945971,0.948199,0.911437,0.943,0.885815,0.943186,0.936873
11 1 6 2,0.9456,0.946157,0.924619,0.940401,0.941329,0.945971,0.946342,0.93873,0.937616
11 1 7 2,0.943372,0.944857,0.946899,0.916821,0.9443,0.945228,0.948199,0.909766,0.941144
11 1 8 2,0.946157,0.944857,0.943929,0.944114,0.917564,0.942072,0.878017,0.93873,0.932046
11 1 9 2,0.924434,0.922206,0.941701,0.945971,0.946342,0.940401,0.948013,0.946714,0.888786
11 1 10 2,0.947828,0.922206,0.941515,0.943372,0.942443,0.943186,0.875232,0.942815,0.928147
11 1 11 2,0.947085,0.931489,0.917378,0.944857,0.905124,0.935945,0.86075,0.943186,0.898255
11 1 12 2,0.923134,0.942072,0.945228,0.944486,0.945414,0.939473,0.911994,0.936131,0.683253
11 2 2,0.949127,0.949499,0.949684,0.949684,0.949313,0.929632,0.928147,0.939473,0.924248
11 2 1 2,0.949499,0.946342,0.949499,0.952841,0.948013,0.947642,0.938173,0.919606,0.9456
11 2 2 2,0.949684,0.94987,0.942443,0.918307,0.924248,0.91775,0.930004,0.937616,0.918121
11 2 3 2,0.937987,0.935574,0.945228,0.94857,0.911437,0.945414,0.890828,0.939473,0.905496
11 2 4 2,0.945414,0.946157,0.921649,0.946714,0.947085,0.947271,0.908466,0.933531,0.919606
11 2 5 2,0.946899,0.925733,0.923877,0.938916,0.947271,0.943557,0.894541,0.941144,0.932603
11 2 6 2,0.947456,0.924434,0.942629,0.945785,0.947456,0.927033,0.913479,0.939473,0.931489
11 2 7 2,0.943,0.947456,0.920906,0.941886,0.942815,0.946157,0.913665,0.939844,0.913479
11 2 8 2,0.927033,0.945971,0.947456,0.947828,0.946157,0.926476,0.915893,0.940215,0.931118
11 2 9 2,0.932974,0.943557,0.945971,0.947456,0.946342,0.9456,0.918678,0.937245,0.929447
