,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
11 1 2,0.927961,0.924805,0.92629,0.926476,0.932232,0.936502,0.935945,0.92759,0.896769
11 1 1 2,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886
11 1 2 2,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886
11 1 3 2,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886
11 1 4 2,0.498886,0.501114,0.501114,0.501114,0.498886,0.498886,0.498886,0.498886,0.498886
11 1 5 2,0.501114,0.501114,0.501114,0.501114,0.501114,0.498886,0.498886,0.498886,0.498886
11 1 6 2,0.498886,0.498886,0.498886,0.501114,0.501114,0.498886,0.498886,0.498886,0.498886
11 1 7 2,0.501114,0.501114,0.498886,0.501114,0.498886,0.498886,0.498886,0.498886,0.93446
11 1 8 2,0.498886,0.498886,0.501114,0.501114,0.498886,0.498886,0.498886,0.498886,0.498886
11 1 9 2,0.498886,0.501114,0.501114,0.501114,0.498886,0.498886,0.947456,0.498886,0.498886
11 1 10 2,0.501114,0.498886,0.498886,0.498886,0.501114,0.498886,0.498886,0.498886,0.92202
11 1 11 2,0.498886,0.498886,0.501114,0.501114,0.501114,0.498886,0.498886,0.498886,0.498886
11 1 12 2,0.498886,0.501114,0.498886,0.498886,0.501114,0.927776,0.926476,0.498886,0.936873
11 2 2,0.932232,0.932232,0.933531,0.933717,0.934831,0.93743,0.935388,0.916079,0.8899
11 2 1 2,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886
11 2 2 2,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886
11 2 3 2,0.938173,0.932046,0.927219,0.918121,0.928333,0.937802,0.828073,0.940958,0.498886
11 2 4 2,0.865949,0.946528,0.871147,0.913665,0.941144,0.763461,0.769402,0.918307,0.848867
11 2 5 2,0.941886,0.925919,0.92759,0.937245,0.93743,0.877089,0.851652,0.872261,0.89287
11 2 6 2,0.932232,0.93316,0.937059,0.883216,0.940215,0.501857,0.918492,0.934831,0.919792
11 2 7 2,0.898626,0.905124,0.886558,0.860193,0.907352,0.738953,0.822874,0.920906,0.930932
11 2 8 2,0.933903,0.930932,0.926662,0.93743,0.933903,0.91645,0.905681,0.863535,0.878017
11 2 9 2,0.933346,0.932603,0.878203,0.926105,0.922206,0.930375,0.915707,0.927961,0.498886
11 2 10 2,0.868548,0.829187,0.896212,0.910694,0.929818,0.885072,0.936873,0.94003,0.937616
11 2 11 2,0.937616,0.935388,0.937616,0.933531,0.928704,0.931489,0.942629,0.498886,0.890271
11 2 12 2,0.936502,0.937802,0.930932,0.934274,0.930004,0.937245,0.731341,0.936502,0.829187
11 3 2,0.934645,0.932789,0.932789,0.934831,0.938359,0.937802,0.917007,0.896212,0.911623
11 3 1 2,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886
11 3 2 2,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886,0.498886
11 3 3 2,0.926847,0.885815,0.93446,0.933903,0.900483,0.912737,0.883587,0.812662,0.844968
11 3 4 2,0.841069,0.926105,0.929632,0.929261,0.926847,0.931303,0.501114,0.913665,0.758262
11 3 5 2,0.914222,0.916079,0.934645,0.930932,0.92759,0.930004,0.911994,0.936502,0.924062
11 3 6 2,0.847568,0.925362,0.92889,0.930375,0.87319,0.935759,0.920535,0.913294,0.921649
11 3 7 2,0.930375,0.904939,0.946899,0.908281,0.886743,0.911251,0.865206,0.916636,0.927219
11 3 8 2,0.928704,0.901411,0.934645,0.919792,0.939473,0.914036,0.942629,0.928704,0.931303
11 3 9 2,0.926662,0.937987,0.92629,0.924991,0.927404,0.883216,0.930561,0.931489,0.501114
11 3 10 2,0.939101,0.921834,0.940215,0.905867,0.931118,0.900297,0.883773,0.941701,0.880431
11 3 11 2,0.932789,0.878203,0.936873,0.938916,0.875975,0.928518,0.918678,0.941701,0.852952
11 3 12 2,0.939101,0.936131,0.924434,0.928518,0.907538,0.919978,0.907167,0.865577,0.57111
11 4 2,0.931118,0.92889,0.916821,0.904196,0.885815,0.936131,0.905124,0.938544,0.935574
